house_id,price,size_sqm,beds,baths,year_built,city,garage,rating
H0095,10888383.0,169.9,4,4,1997,Amsterdam,1,4.6
H0096,8293443.0,138.0,3,5,2005,Amsterdam,1,4.4
H0097,5745204.0,126.3,2,4,1995,Madrid,1,4.5
H0098,7247216.0,96.3,1,2,2015,Amsterdam,1,3.5
H0099,4957241.0,94.9,2,2,2003,Berlin,1,4.6
H0100,8927717.0,138.6,4,5,2013,Amsterdam,1,4.6
H0101,8447116.0,127.4,3,4,2012,Berlin,0,4.4
H0102,8036096.0,141.1,3,5,2000,Berlin,1,4.1
H0103,6737482.0,96.4,1,1,2015,London,1,3.6
H0104,5689458.0,92.4,2,4,2019,Madrid,1,4.5
H0105,13199939.0,162.6,4,5,2008,Berlin,1,4.2
H0106,6234741.0,122.9,2,4,2003,Amsterdam,1,4.1
H0107,17098668.0,177.5,2,2,2012,London,1,4.2
H0108,7118213.0,121.8,3,4,2002,Amsterdam,1,3.6
H0109,7277554.0,109.8,1,1,2008,Madrid,1,4.8
H0110,9061981.0,118.2,4,4,2015,Amsterdam,1,4.8
H0111,12348012.0,190.3,5,6,2015,Amsterdam,1,3.7
H0112,6781682.0,122.6,3,2,2001,London,1,4.2
H0113,9480105.0,159.4,4,5,2005,Amsterdam,0,3.9
H0114,10208361.0,159.2,3,3,2020,Amsterdam,1,4.6
H0115,8322382.0,152.7,4,5,2000,Amsterdam,1,4.8
H0116,9182721.0,118.7,1,1,2022,Berlin,0,4.8
H0117,9331108.0,167.2,2,3,2017,Berlin,1,3.6
H0118,4240851.0,91.7,2,2,2004,Madrid,1,3.6
H0119,9346009.0,117.2,1,1,2005,London,1,3.5
H0120,12217910.0,173.5,3,3,2024,Berlin,1,4.5
H0121,9118765.0,118.7,3,3,2020,Berlin,1,4.1
H0122,5751313.0,98.9,1,1,2010,Madrid,1,3.7
H0123,5177541.0,98.0,2,2,2003,Berlin,1,4.9
H0124,9938956.0,176.8,4,4,2021,Madrid,0,3.8
H0125,8852601.0,168.7,4,6,2022,Berlin,1,4.1
H0126,13764471.0,165.1,3,4,2018,Madrid,1,4.7
H0127,12448029.0,159.8,3,4,2002,London,1,4.8
H0128,10663397.0,175.4,3,4,2003,Berlin,0,4.6
H0129,7196784.0,190.6,4,6,2003,Madrid,1,3.6
H0130,11513509.0,162.5,3,3,1995,Berlin,1,4.5
H0131,6183105.0,145.2,3,3,2020,Madrid,1,3.9
H0132,9139626.0,150.5,4,5,2018,Berlin,1,4.3
H0133,6486559.0,101.3,1,1,2019,Amsterdam,1,4.6
H0134,9492759.0,182.5,5,4,2004,Berlin,1,4.3
H0135,10117747.0,190.5,4,6,2004,Amsterdam,1,4.1
H0136,7568886.0,106.6,3,4,2022,London,1,4.0
H0137,9634328.0,192.8,5,4,2024,Madrid,1,3.4
H0138,21075691.0,206.5,5,5,2020,London,1,4.3
H0139,10035020.0,128.6,2,2,1999,London,1,4.9
H0140,8374907.0,133.4,2,2,2024,Berlin,1,4.0
H0141,7613426.0,182.7,4,4,2002,Berlin,0,4.6
H0142,9889076.0,169.7,4,5,2003,London,1,4.3
H0143,13372137.0,152.0,4,5,2020,London,0,3.7
H0144,10238988.0,133.7,2,2,1999,London,1,4.1
H0145,14765215.0,184.7,4,3,2012,Amsterdam,1,4.9
H0146,7419641.0,139.8,4,3,2021,Amsterdam,1,3.6
H0147,16962024.0,160.1,4,6,2015,London,1,4.2
H0148,6896947.0,111.6,2,3,2015,London,1,3.6
H0149,10307777.0,199.1,5,4,2019,Amsterdam,1,4.5
H0150,11549901.0,145.9,2,3,2022,London,0,4.0
H0151,6772389.0,84.5,2,2,2018,Berlin,0,4.2
H0152,7313868.0,143.7,2,3,2002,Amsterdam,1,3.9
H0153,7419195.0,164.7,4,6,2001,Amsterdam,1,3.6
H0154,5894944.0,106.7,2,2,2000,Amsterdam,1,3.6
H0155,10223275.0,151.6,3,3,2001,London,0,4.9
H0156,3606690.0,117.0,2,2,2000,Berlin,1,3.7
H0157,6483740.0,137.3,3,4,2017,Madrid,0,3.2
H0158,6784877.0,144.6,3,4,1999,Berlin,1,4.6
H0159,17419234.0,174.9,5,6,2021,London,1,4.9
H0160,3806375.0,111.5,1,1,1995,Madrid,1,4.0
